@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,double
Format,yyyy-MM-dd HH:mm,
,2018-05-10 00:00,11.6275
,2018-05-10 01:00,11.795
,2018-05-10 02:00,11.1975
,2018-05-10 03:00,10.935
,2018-05-10 04:00,11.34
,2018-05-10 05:00,11.795
,2018-05-10 06:00,11.942499999999999
,2018-05-10 07:00,12.34
,2018-05-10 08:00,12.6525
,2018-05-10 09:00,13.252500000000001
,2018-05-10 10:00,13.41
,2018-05-10 11:00,13.5425
,2018-05-10 12:00,13.78
,2018-05-10 13:00,14.3475
,2018-05-10 14:00,13.200000000000001
,2018-05-10 15:00,13.719999999999999
,2018-05-10 16:00,13.905000000000001
,2018-05-10 17:00,13.7725
,2018-05-10 18:00,13.5875
,2018-05-10 19:00,13.209999999999999
,2018-05-10 20:00,12.6675
,2018-05-10 21:00,12.834999999999999
,2018-05-10 22:00,12.189999999999998
,2018-05-10 23:00,11.717500000000001
,2018-05-11 00:00,10.72
,2018-05-11 01:00,9.907499999999999
,2018-05-11 02:00,9.5725
,2018-05-11 03:00,9.415000000000001
,2018-05-11 04:00,9.3025
,2018-05-11 05:00,8.965
,2018-05-11 06:00,9.8275
,2018-05-11 07:00,12.7225
,2018-05-11 08:00,15.7275
,2018-05-11 09:00,16.455
,2018-05-11 10:00,17.0125
,2018-05-11 11:00,17.5525
,2018-05-11 12:00,18.127499999999998
,2018-05-11 13:00,19.6675
,2018-05-11 14:00,20.9575
,2018-05-11 15:00,22.3125
,2018-05-11 16:00,22.207500000000003
,2018-05-11 17:00,21.9375
,2018-05-11 18:00,20.5875
,2018-05-11 19:00,17.205
,2018-05-11 20:00,15.245000000000001
,2018-05-11 21:00,14.399999999999999
,2018-05-11 22:00,13.969999999999999
,2018-05-11 23:00,13.6225
,2018-05-12 00:00,12.927499999999998
,2018-05-12 01:00,12.4275
,2018-05-12 02:00,11.857500000000002
,2018-05-12 03:00,11.0725
,2018-05-12 04:00,11.1425
,2018-05-12 05:00,10.9975
,2018-05-12 06:00,11.544999999999998
,2018-05-12 07:00,14.975
,2018-05-12 08:00,19.3225
,2018-05-12 09:00,19.775000000000002
,2018-05-12 10:00,21.03
,2018-05-12 11:00,21.295
,2018-05-12 12:00,21.150000000000002
,2018-05-12 13:00,23.3
,2018-05-12 14:00,23.159999999999997
,2018-05-12 15:00,23.6725
,2018-05-12 16:00,22.77
,2018-05-12 17:00,23.315
,2018-05-12 18:00,22.41
,2018-05-12 19:00,18.722499999999997
,2018-05-12 20:00,15.62
,2018-05-12 21:00,15.1225
,2018-05-12 22:00,15.005
,2018-05-12 23:00,14.21
,2018-05-13 00:00,14.010000000000002
,2018-05-13 01:00,13.3925
,2018-05-13 02:00,13.3275
,2018-05-13 03:00,13.2525
,2018-05-13 04:00,13.3025
,2018-05-13 05:00,11.9375
,2018-05-13 06:00,11.47
,2018-05-13 07:00,11.16
,2018-05-13 08:00,10.2675
,2018-05-13 09:00,10.19
,2018-05-13 10:00,10.79
,2018-05-13 11:00,10.7575
,2018-05-13 12:00,12.22
,2018-05-13 13:00,12.5675
,2018-05-13 14:00,12.387500000000001
,2018-05-13 15:00,12.342500000000001
,2018-05-13 16:00,12.002500000000001
,2018-05-13 17:00,11.489999999999998
,2018-05-13 18:00,10.56
,2018-05-13 19:00,9.5275
,2018-05-13 20:00,9.272499999999999
,2018-05-13 21:00,8.8125
,2018-05-13 22:00,8.49
,2018-05-13 23:00,8.34
,2018-05-14 00:00,8.69
,2018-05-14 01:00,8.947500000000002
,2018-05-14 02:00,9.065
,2018-05-14 03:00,8.865
,2018-05-14 04:00,9.0175
,2018-05-14 05:00,8.9325
,2018-05-14 06:00,8.655
,2018-05-14 07:00,9.147499999999999
,2018-05-14 08:00,11.34
,2018-05-14 09:00,13.6725
,2018-05-14 10:00,12.9425
,2018-05-14 11:00,13.439999999999998
,2018-05-14 12:00,15.5575
,2018-05-14 13:00,16.465
,2018-05-14 14:00,17.2725
,2018-05-14 15:00,18.137500000000003
,2018-05-14 16:00,17.34
,2018-05-14 17:00,16.1725
,2018-05-14 18:00,15.3325
,2018-05-14 19:00,14.6325
,2018-05-14 20:00,14.085
,2018-05-14 21:00,12.6725
,2018-05-14 22:00,11.1175
,2018-05-14 23:00,10.7575
,2018-05-15 00:00,10.49
,2018-05-15 01:00,10.325
,2018-05-15 02:00,10.327499999999999
,2018-05-15 03:00,10.247499999999999
,2018-05-15 04:00,10.2075
,2018-05-15 05:00,10.2325
,2018-05-15 06:00,10.3525
,2018-05-15 07:00,10.6475
,2018-05-15 08:00,10.5025
,2018-05-15 09:00,10.61
,2018-05-15 10:00,12.2475
,2018-05-15 11:00,14.395
,2018-05-15 12:00,11.7425
,2018-05-15 13:00,12.850000000000001
,2018-05-15 14:00,14.357500000000002
,2018-05-15 15:00,16.22
,2018-05-15 16:00,16.05
,2018-05-15 17:00,13.7925
,2018-05-15 18:00,12.0825
,2018-05-15 19:00,12.149999999999999
,2018-05-15 20:00,11.797500000000001
,2018-05-15 21:00,10.965
,2018-05-15 22:00,10.715
,2018-05-15 23:00,10.07
,2018-05-16 00:00,9.41
,2018-05-16 01:00,9.3025
,2018-05-16 02:00,8.7425
,2018-05-16 03:00,8.7675
,2018-05-16 04:00,9.795
,2018-05-16 05:00,10.28
,2018-05-16 06:00,10.6575
,2018-05-16 07:00,10.965
,2018-05-16 08:00,12.5925
,2018-05-16 09:00,12.1125
,2018-05-16 10:00,12.11
,2018-05-16 11:00,11.834999999999999
,2018-05-16 12:00,11.777500000000002
,2018-05-16 13:00,12.540000000000001
,2018-05-16 14:00,14.1525
,2018-05-16 15:00,14.42
,2018-05-16 16:00,16.044999999999998
,2018-05-16 17:00,14.340000000000002
,2018-05-16 18:00,13.355
,2018-05-16 19:00,12.989999999999998
,2018-05-16 20:00,12.8525
,2018-05-16 21:00,12.629999999999999
,2018-05-16 22:00,12.287500000000001
,2018-05-16 23:00,12.059999999999999
,2018-05-17 00:00,12.1375
,2018-05-17 01:00,11.032499999999999
,2018-05-17 02:00,10.1
,2018-05-17 03:00,9.5075
,2018-05-17 04:00,8.7
