@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,double
Format,yyyy-MM-dd HH:mm,
,2018-05-10 0:00,11.69
,2018-05-10 0:15,11.52
,2018-05-10 0:30,11.58
,2018-05-10 0:45,11.72
,2018-05-10 1:00,11.69
,2018-05-10 1:15,11.92
,2018-05-10 1:30,11.86
,2018-05-10 1:45,11.71
,2018-05-10 2:00,11.5
,2018-05-10 2:15,11.24
,2018-05-10 2:30,11.08
,2018-05-10 2:45,10.97
,2018-05-10 3:00,10.93
,2018-05-10 3:15,10.8
,2018-05-10 3:30,10.95
,2018-05-10 3:45,11.06
,2018-05-10 4:00,11.1
,2018-05-10 4:15,11.34
,2018-05-10 4:30,11.4
,2018-05-10 4:45,11.52
,2018-05-10 5:00,11.63
,2018-05-10 5:15,11.77
,2018-05-10 5:30,11.85
,2018-05-10 5:45,11.93
,2018-05-10 6:00,11.97
,2018-05-10 6:15,11.94
,2018-05-10 6:30,11.92
,2018-05-10 6:45,11.94
,2018-05-10 7:00,12.08
,2018-05-10 7:15,12.32
,2018-05-10 7:30,12.44
,2018-05-10 7:45,12.52
,2018-05-10 8:00,12.62
,2018-05-10 8:15,12.65
,2018-05-10 8:30,12.66
,2018-05-10 8:45,12.68
,2018-05-10 9:00,12.99
,2018-05-10 9:15,13.22
,2018-05-10 9:30,13.42
,2018-05-10 9:45,13.38
,2018-05-10 10:00,13.3
,2018-05-10 10:15,13.39
,2018-05-10 10:30,13.51
,2018-05-10 10:45,13.44
,2018-05-10 11:00,13.44
,2018-05-10 11:15,13.38
,2018-05-10 11:30,13.53
,2018-05-10 11:45,13.82
,2018-05-10 12:00,13.74
,2018-05-10 12:15,13.66
,2018-05-10 12:30,13.72
,2018-05-10 12:45,14.0
,2018-05-10 13:00,14.43
,2018-05-10 13:15,14.5
,2018-05-10 13:30,14.47
,2018-05-10 13:45,13.99
,2018-05-10 14:00,13.21
,2018-05-10 14:15,12.96
,2018-05-10 14:30,13.2
,2018-05-10 14:45,13.43
,2018-05-10 15:00,13.67
,2018-05-10 15:15,13.74
,2018-05-10 15:30,13.74
,2018-05-10 15:45,13.73
,2018-05-10 16:00,13.79
,2018-05-10 16:15,13.83
,2018-05-10 16:30,14.02
,2018-05-10 16:45,13.98
,2018-05-10 17:00,13.76
,2018-05-10 17:15,13.75
,2018-05-10 17:30,13.78
,2018-05-10 17:45,13.8
,2018-05-10 18:00,13.9
,2018-05-10 18:15,13.62
,2018-05-10 18:30,13.45
,2018-05-10 18:45,13.38
,2018-05-10 19:00,13.35
,2018-05-10 19:15,13.29
,2018-05-10 19:30,13.19
,2018-05-10 19:45,13.01
,2018-05-10 20:00,12.71
,2018-05-10 20:15,12.56
,2018-05-10 20:30,12.67
,2018-05-10 20:45,12.73
,2018-05-10 21:00,12.74
,2018-05-10 21:15,12.91
,2018-05-10 21:30,12.86
,2018-05-10 21:45,12.83
,2018-05-10 22:00,12.54
,2018-05-10 22:15,12.27
,2018-05-10 22:30,12.04
,2018-05-10 22:45,11.91
,2018-05-10 23:00,11.97
,2018-05-10 23:15,11.81
,2018-05-10 23:30,11.61
,2018-05-10 23:45,11.48
,2018-05-11 0:00,11.1
,2018-05-11 0:15,10.81
,2018-05-11 0:30,10.69
,2018-05-11 0:45,10.28
,2018-05-11 1:00,10.09
,2018-05-11 1:15,9.86
,2018-05-11 1:30,9.84
,2018-05-11 1:45,9.84
,2018-05-11 2:00,9.77
,2018-05-11 2:15,9.57
,2018-05-11 2:30,9.59
,2018-05-11 2:45,9.36
,2018-05-11 3:00,9.39
,2018-05-11 3:15,9.39
,2018-05-11 3:30,9.39
,2018-05-11 3:45,9.49
,2018-05-11 4:00,9.56
,2018-05-11 4:15,9.34
,2018-05-11 4:30,9.25
,2018-05-11 4:45,9.06
,2018-05-11 5:00,8.97
,2018-05-11 5:15,8.92
,2018-05-11 5:30,8.9
,2018-05-11 5:45,9.07
,2018-05-11 6:00,9.56
,2018-05-11 6:15,9.74
,2018-05-11 6:30,9.83
,2018-05-11 6:45,10.18
,2018-05-11 7:00,10.63
,2018-05-11 7:15,11.75
,2018-05-11 7:30,13.79
,2018-05-11 7:45,14.72
,2018-05-11 8:00,15.28
,2018-05-11 8:15,15.57
,2018-05-11 8:30,15.86
,2018-05-11 8:45,16.2
,2018-05-11 9:00,16.33
,2018-05-11 9:15,16.44
,2018-05-11 9:30,16.56
,2018-05-11 9:45,16.49
,2018-05-11 10:00,16.75
,2018-05-11 10:15,16.97
,2018-05-11 10:30,17.13
,2018-05-11 10:45,17.2
,2018-05-11 11:00,17.23
,2018-05-11 11:15,17.62
,2018-05-11 11:30,17.59
,2018-05-11 11:45,17.77
,2018-05-11 12:00,17.88
,2018-05-11 12:15,17.29
,2018-05-11 12:30,18.44
,2018-05-11 12:45,18.9
,2018-05-11 13:00,19.11
,2018-05-11 13:15,19.37
,2018-05-11 13:30,19.74
,2018-05-11 13:45,20.45
,2018-05-11 14:00,20.49
,2018-05-11 14:15,20.76
,2018-05-11 14:30,21.14
,2018-05-11 14:45,21.44
,2018-05-11 15:00,21.77
,2018-05-11 15:15,22.07
,2018-05-11 15:30,22.64
,2018-05-11 15:45,22.77
,2018-05-11 16:00,22.31
,2018-05-11 16:15,22.58
,2018-05-11 16:30,21.79
,2018-05-11 16:45,22.15
,2018-05-11 17:00,22.44
,2018-05-11 17:15,21.88
,2018-05-11 17:30,21.77
,2018-05-11 17:45,21.66
,2018-05-11 18:00,21.49
,2018-05-11 18:15,21.4
,2018-05-11 18:30,20.94
,2018-05-11 18:45,18.52
,2018-05-11 19:00,17.83
,2018-05-11 19:15,17.64
,2018-05-11 19:30,16.99
,2018-05-11 19:45,16.36
,2018-05-11 20:00,16.15
,2018-05-11 20:15,15.56
,2018-05-11 20:30,14.92
,2018-05-11 20:45,14.35
,2018-05-11 21:00,14.26
,2018-05-11 21:15,14.26
,2018-05-11 21:30,14.64
,2018-05-11 21:45,14.44
,2018-05-11 22:00,14.02
,2018-05-11 22:15,13.95
,2018-05-11 22:30,14.15
,2018-05-11 22:45,13.76
,2018-05-11 23:00,13.43
