@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,double
Format,yyyy-MM-dd HH:mm,
,2018-05-10 0:00,100
,2018-05-10 0:15,100
,2018-05-10 0:30,100
,2018-05-10 0:45,100
,2018-05-10 1:00,100
,2018-05-10 1:15,100
,2018-05-10 1:30,100
,2018-05-10 1:45,100
,2018-05-10 2:00,100
,2018-05-10 2:15,100
,2018-05-10 2:30,100
,2018-05-10 2:45,100
,2018-05-10 3:00,100
,2018-05-10 3:15,100
,2018-05-10 3:30,100
,2018-05-10 3:45,100
,2018-05-10 4:00,100
,2018-05-10 4:15,100
,2018-05-10 4:30,100
,2018-05-10 4:45,100
,2018-05-10 5:00,100
,2018-05-10 5:15,100
,2018-05-10 5:30,100
,2018-05-10 5:45,100
,2018-05-10 6:00,100
,2018-05-10 6:15,100
,2018-05-10 6:30,100
,2018-05-10 6:45,100
,2018-05-10 7:00,100
,2018-05-10 7:15,100
,2018-05-10 7:30,100
,2018-05-10 7:45,100
,2018-05-10 8:00,100
,2018-05-10 8:15,100
,2018-05-10 8:30,100
,2018-05-10 8:45,100
,2018-05-10 9:00,100
,2018-05-10 9:15,100
,2018-05-10 9:30,100
,2018-05-10 9:45,100
,2018-05-10 10:00,100
,2018-05-10 10:15,100
,2018-05-10 10:30,100
,2018-05-10 10:45,100
,2018-05-10 11:00,100
,2018-05-10 11:15,100
,2018-05-10 11:30,100
,2018-05-10 11:45,100
,2018-05-10 12:00,100
,2018-05-10 12:15,100
,2018-05-10 12:30,100
,2018-05-10 12:45,100
,2018-05-10 13:00,100
,2018-05-10 13:15,100
,2018-05-10 13:30,99
,2018-05-10 13:45,97
,2018-05-10 14:00,93
,2018-05-10 14:15,92
,2018-05-10 14:30,92
,2018-05-10 14:45,89
,2018-05-10 15:00,83
,2018-05-10 15:15,78
,2018-05-10 15:30,75
,2018-05-10 15:45,75
,2018-05-10 16:00,74
,2018-05-10 16:15,77
,2018-05-10 16:30,79
,2018-05-10 16:45,78
,2018-05-10 17:00,78
,2018-05-10 17:15,81
,2018-05-10 17:30,81
,2018-05-10 17:45,81
,2018-05-10 18:00,83
,2018-05-10 18:15,87
,2018-05-10 18:30,90
,2018-05-10 18:45,89
,2018-05-10 19:00,89
,2018-05-10 19:15,88
,2018-05-10 19:30,88
,2018-05-10 19:45,89
,2018-05-10 20:00,90
,2018-05-10 20:15,91
,2018-05-10 20:30,91
,2018-05-10 20:45,88
,2018-05-10 21:00,87
,2018-05-10 21:15,84
,2018-05-10 21:30,81
,2018-05-10 21:45,81
,2018-05-10 22:00,81
,2018-05-10 22:15,81
,2018-05-10 22:30,82
,2018-05-10 22:45,82
,2018-05-10 23:00,81
,2018-05-10 23:15,80
,2018-05-10 23:30,81
,2018-05-10 23:45,81
,2018-05-11 0:00,82
,2018-05-11 0:15,83
,2018-05-11 0:30,82
,2018-05-11 0:45,84
,2018-05-11 1:00,86
,2018-05-11 1:15,87
,2018-05-11 1:30,88
,2018-05-11 1:45,88
,2018-05-11 2:00,89
,2018-05-11 2:15,90
,2018-05-11 2:30,90
,2018-05-11 2:45,90
,2018-05-11 3:00,90
,2018-05-11 3:15,90
,2018-05-11 3:30,90
,2018-05-11 3:45,89
,2018-05-11 4:00,88
,2018-05-11 4:15,88
,2018-05-11 4:30,88
,2018-05-11 4:45,88
,2018-05-11 5:00,89
,2018-05-11 5:15,89
,2018-05-11 5:30,90
,2018-05-11 5:45,90
,2018-05-11 6:00,89
,2018-05-11 6:15,88
,2018-05-11 6:30,87
,2018-05-11 6:45,86
,2018-05-11 7:00,85
,2018-05-11 7:15,83
,2018-05-11 7:30,79
,2018-05-11 7:45,74
,2018-05-11 8:00,73
,2018-05-11 8:15,74
,2018-05-11 8:30,76
,2018-05-11 8:45,76
,2018-05-11 9:00,75
,2018-05-11 9:15,74
,2018-05-11 9:30,74
,2018-05-11 9:45,72
,2018-05-11 10:00,70
,2018-05-11 10:15,70
,2018-05-11 10:30,70
,2018-05-11 10:45,68
,2018-05-11 11:00,68
,2018-05-11 11:15,67
,2018-05-11 11:30,68
,2018-05-11 11:45,67
,2018-05-11 12:00,67
,2018-05-11 12:15,67
,2018-05-11 12:30,66
,2018-05-11 12:45,67
,2018-05-11 13:00,67
,2018-05-11 13:15,65
,2018-05-11 13:30,64
,2018-05-11 13:45,64
,2018-05-11 14:00,63
,2018-05-11 14:15,63
,2018-05-11 14:30,63
,2018-05-11 14:45,63
,2018-05-11 15:00,62
,2018-05-11 15:15,62
,2018-05-11 15:30,59
,2018-05-11 15:45,60
,2018-05-11 16:00,62
,2018-05-11 16:15,61
,2018-05-11 16:30,64
,2018-05-11 16:45,64
,2018-05-11 17:00,63
,2018-05-11 17:15,65
,2018-05-11 17:30,65
,2018-05-11 17:45,59
,2018-05-11 18:00,59
,2018-05-11 18:15,56
,2018-05-11 18:30,51
,2018-05-11 18:45,58
,2018-05-11 19:00,54
,2018-05-11 19:15,53
,2018-05-11 19:30,56
,2018-05-11 19:45,58
,2018-05-11 20:00,58
,2018-05-11 20:15,62
,2018-05-11 20:30,67
,2018-05-11 20:45,69
,2018-05-11 21:00,70
,2018-05-11 21:15,70
,2018-05-11 21:30,70
,2018-05-11 21:45,71
,2018-05-11 22:00,74
,2018-05-11 22:15,75
,2018-05-11 22:30,77
,2018-05-11 22:45,79
,2018-05-11 23:00,79
,2018-05-11 23:15,80
,2018-05-11 23:30,78
,2018-05-11 23:45,79
,2018-05-12 0:00,82
,2018-05-12 0:15,84
,2018-05-12 0:30,83
,2018-05-12 0:45,82
,2018-05-12 1:00,82
,2018-05-12 1:15,82
,2018-05-12 1:30,84
,2018-05-12 1:45,85
,2018-05-12 2:00,85
,2018-05-12 2:15,86
,2018-05-12 2:30,85
,2018-05-12 2:45,86
,2018-05-12 3:00,88
,2018-05-12 3:15,89
,2018-05-12 3:30,89
,2018-05-12 3:45,90
,2018-05-12 4:00,91
,2018-05-12 4:15,92
,2018-05-12 4:30,91
,2018-05-12 4:45,88
,2018-05-12 5:00,88
,2018-05-12 5:15,89
,2018-05-12 5:30,90
,2018-05-12 5:45,91
