@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,double
Format,yyyy-MM-dd HH:mm,
,2018-05-10 0:00,-0.71
,2018-05-10 0:15,-0.66
,2018-05-10 0:30,-0.62
,2018-05-10 0:45,-0.71
,2018-05-10 1:00,-0.66
,2018-05-10 1:15,-0.66
,2018-05-10 1:30,-0.52
,2018-05-10 1:45,-0.62
,2018-05-10 2:00,-0.71
,2018-05-10 2:15,-0.66
,2018-05-10 2:30,-0.52
,2018-05-10 2:45,-0.57
,2018-05-10 3:00,-0.57
,2018-05-10 3:15,-0.57
,2018-05-10 3:30,-0.62
,2018-05-10 3:45,-0.76
,2018-05-10 4:00,-0.66
,2018-05-10 4:15,-0.71
,2018-05-10 4:30,-0.81
,2018-05-10 4:45,-0.66
,2018-05-10 5:00,-0.47
,2018-05-10 5:15,0.05
,2018-05-10 5:30,1.61
,2018-05-10 5:45,5.54
,2018-05-10 6:00,15.44
,2018-05-10 6:15,33.1
,2018-05-10 6:30,31.45
,2018-05-10 6:45,24.48
,2018-05-10 7:00,29.55
,2018-05-10 7:15,37.93
,2018-05-10 7:30,24.44
,2018-05-10 7:45,18.94
,2018-05-10 8:00,15.15
,2018-05-10 8:15,21.41
,2018-05-10 8:30,23.54
,2018-05-10 8:45,32.58
,2018-05-10 9:00,43.29
,2018-05-10 9:15,44.66
,2018-05-10 9:30,71.75
,2018-05-10 9:45,42.67
,2018-05-10 10:00,58.44
,2018-05-10 10:15,67.91
,2018-05-10 10:30,41.49
,2018-05-10 10:45,41.82
,2018-05-10 11:00,55.13
,2018-05-10 11:15,61.14
,2018-05-10 11:30,81.5
,2018-05-10 11:45,56.88
,2018-05-10 12:00,30.03
,2018-05-10 12:15,44.42
,2018-05-10 12:30,88.47
,2018-05-10 12:45,78.19
,2018-05-10 13:00,103.0
,2018-05-10 13:15,84.25
,2018-05-10 13:30,59.91
,2018-05-10 13:45,27.28
,2018-05-10 14:00,32.16
,2018-05-10 14:15,54.18
,2018-05-10 14:30,65.73
,2018-05-10 14:45,81.27
,2018-05-10 15:00,96.75
,2018-05-10 15:15,74.5
,2018-05-10 15:30,56.78
,2018-05-10 15:45,47.88
,2018-05-10 16:00,40.82
,2018-05-10 16:15,56.07
,2018-05-10 16:30,67.39
,2018-05-10 16:45,47.36
,2018-05-10 17:00,39.26
,2018-05-10 17:15,42.05
,2018-05-10 17:30,45.84
,2018-05-10 17:45,48.16
,2018-05-10 18:00,40.82
,2018-05-10 18:15,28.32
,2018-05-10 18:30,23.21
,2018-05-10 18:45,17.9
,2018-05-10 19:00,13.45
,2018-05-10 19:15,9.76
,2018-05-10 19:30,5.4
,2018-05-10 19:45,2.51
,2018-05-10 20:00,0.43
,2018-05-10 20:15,-0.09
,2018-05-10 20:30,-0.28
,2018-05-10 20:45,-0.52
,2018-05-10 21:00,-0.57
,2018-05-10 21:15,-0.43
,2018-05-10 21:30,-0.57
,2018-05-10 21:45,-0.47
,2018-05-10 22:00,-0.62
,2018-05-10 22:15,-0.57
,2018-05-10 22:30,-0.52
,2018-05-10 22:45,-0.52
,2018-05-10 23:00,-0.57
,2018-05-10 23:15,-0.62
,2018-05-10 23:30,-0.62
,2018-05-10 23:45,-0.52
,2018-05-11 0:00,-0.62
,2018-05-11 0:15,-0.66
,2018-05-11 0:30,-0.52
,2018-05-11 0:45,-0.52
,2018-05-11 1:00,-0.71
,2018-05-11 1:15,-0.62
,2018-05-11 1:30,-0.76
,2018-05-11 1:45,-0.76
,2018-05-11 2:00,-0.81
,2018-05-11 2:15,-0.71
,2018-05-11 2:30,-0.81
,2018-05-11 2:45,-0.9
,2018-05-11 3:00,-0.81
,2018-05-11 3:15,-0.76
,2018-05-11 3:30,-0.85
,2018-05-11 3:45,-0.71
,2018-05-11 4:00,-0.85
,2018-05-11 4:15,-0.81
,2018-05-11 4:30,-0.95
,2018-05-11 4:45,-0.81
,2018-05-11 5:00,-0.19
,2018-05-11 5:15,2.56
,2018-05-11 5:30,8.1
,2018-05-11 5:45,19.61
,2018-05-11 6:00,25.29
,2018-05-11 6:15,27.75
,2018-05-11 6:30,35.76
,2018-05-11 6:45,43.05
,2018-05-11 7:00,57.45
,2018-05-11 7:15,212.4
,2018-05-11 7:30,248.7
,2018-05-11 7:45,287.2
,2018-05-11 8:00,323.7
,2018-05-11 8:15,358.6
,2018-05-11 8:30,399.3
,2018-05-11 8:45,433.8
,2018-05-11 9:00,463.5
,2018-05-11 9:15,493.5
,2018-05-11 9:30,520.5
,2018-05-11 9:45,549.4
,2018-05-11 10:00,575.3
,2018-05-11 10:15,598.8
,2018-05-11 10:30,621.8
,2018-05-11 10:45,642.4
,2018-05-11 11:00,660.2
,2018-05-11 11:15,677.4
,2018-05-11 11:30,689.2
,2018-05-11 11:45,699.2
,2018-05-11 12:00,707.3
,2018-05-11 12:15,712.8
,2018-05-11 12:30,715.1
,2018-05-11 12:45,715.4
,2018-05-11 13:00,714.4
,2018-05-11 13:15,708.2
,2018-05-11 13:30,701.1
,2018-05-11 13:45,691.3
,2018-05-11 14:00,676.2
,2018-05-11 14:15,661.0
,2018-05-11 14:30,643.0
,2018-05-11 14:45,623.5
,2018-05-11 15:00,601.9
,2018-05-11 15:15,578.7
,2018-05-11 15:30,553.5
,2018-05-11 15:45,526.7
,2018-05-11 16:00,498.1
,2018-05-11 16:15,468.0
,2018-05-11 16:30,434.9
,2018-05-11 16:45,401.8
,2018-05-11 17:00,365.6
,2018-05-11 17:15,330.2
,2018-05-11 17:30,294.3
,2018-05-11 17:45,256.9
,2018-05-11 18:00,222.4
,2018-05-11 18:15,188.2
,2018-05-11 18:30,155.7
,2018-05-11 18:45,70.99
,2018-05-11 19:00,31.97
,2018-05-11 19:15,22.4
,2018-05-11 19:30,16.53
,2018-05-11 19:45,9.99
,2018-05-11 20:00,3.5
,2018-05-11 20:15,0.9
,2018-05-11 20:30,0.14
,2018-05-11 20:45,0.0
,2018-05-11 21:00,-0.09
,2018-05-11 21:15,-0.24
,2018-05-11 21:30,-0.33
,2018-05-11 21:45,-0.28
,2018-05-11 22:00,-0.24
