@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,double
Format,yyyy-MM-dd HH:mm,
,2018-02-05 00:00,0.0024
,2018-02-05 00:15,0.0034
,2018-02-05 00:30,0.003
,2018-02-05 00:45,0.0034
,2018-02-05 01:00,0.0027
,2018-02-05 01:15,0.0032
,2018-02-05 01:30,0.0025
,2018-02-05 01:45,0.0023
,2018-02-05 02:00,0.0031
,2018-02-05 02:15,0.0042
,2018-02-05 02:30,0.0037
,2018-02-05 02:45,0.0029
,2018-02-05 03:00,0.003
,2018-02-05 03:15,0.0031
,2018-02-05 03:30,0.0024
,2018-02-05 03:45,0.0024
,2018-02-05 04:00,0.0024
,2018-02-05 04:15,0.0017
,2018-02-05 04:30,0.0029
,2018-02-05 04:45,0.0017
,2018-02-05 05:00,0.0017
,2018-02-05 05:15,0.0024
,2018-02-05 05:30,0.0026
,2018-02-05 05:45,0.0031
,2018-02-05 06:00,0.003
,2018-02-05 06:15,0.0031
,2018-02-05 06:30,0.0029
,2018-02-05 06:45,0.0022
,2018-02-05 07:00,0.0022
,2018-02-05 07:15,0.0025
,2018-02-05 07:30,0.0032
,2018-02-05 07:45,0.0025
,2018-02-05 08:00,0.0036
,2018-02-05 08:15,0.0038
,2018-02-05 08:30,0.0046
,2018-02-05 08:45,0.0062
,2018-02-05 09:00,0.0056
,2018-02-05 09:15,0.008
,2018-02-05 09:30,0.0078
,2018-02-05 09:45,0.012
,2018-02-05 10:00,0.0131
,2018-02-05 10:15,0.0131
,2018-02-05 10:30,0.0172
,2018-02-05 10:45,0.0222
,2018-02-05 11:00,0.0247
,2018-02-05 11:15,0.0245
,2018-02-05 11:30,0.0263
,2018-02-05 11:45,0.0377
,2018-02-05 12:00,0.0416
,2018-02-05 12:15,0.0525
,2018-02-05 12:30,0.0453
,2018-02-05 12:45,0.035
,2018-02-05 13:00,0.0299
,2018-02-05 13:15,0.0302
,2018-02-05 13:30,0.0346
,2018-02-05 13:45,0.0285
,2018-02-05 14:00,0.0266
,2018-02-05 14:15,0.0303
,2018-02-05 14:30,0.0291
,2018-02-05 14:45,0.0256
,2018-02-05 15:00,0.0306
,2018-02-05 15:15,0.0299
,2018-02-05 15:30,0.0355
,2018-02-05 15:45,0.0427
,2018-02-05 16:00,0.0278
,2018-02-05 16:15,0.0229
,2018-02-05 16:30,0.0169
,2018-02-05 16:45,0.0144
,2018-02-05 17:00,0.01
,2018-02-05 17:15,0.007
,2018-02-05 17:30,0.0052
,2018-02-05 17:45,0.0036
,2018-02-05 18:00,0.0035
,2018-02-05 18:15,0.0033
,2018-02-05 18:30,0.0028
,2018-02-05 18:45,0.0028
,2018-02-05 19:00,0.0037
,2018-02-05 19:15,0.0038
,2018-02-05 19:30,0.0036
,2018-02-05 19:45,0.0029
,2018-02-05 20:00,0.0031
,2018-02-05 20:15,0.003
,2018-02-05 20:30,0.0029
,2018-02-05 20:45,0.003
,2018-02-05 21:00,0.0038
,2018-02-05 21:15,0.0033
,2018-02-05 21:30,0.0031
,2018-02-05 21:45,0.0021
,2018-02-05 22:00,0.0022
,2018-02-05 22:15,0.0022
,2018-02-05 22:30,0.0024
,2018-02-05 22:45,0.0038
,2018-02-05 23:00,0.0023
,2018-02-05 23:15,0.0042
,2018-02-05 23:30,0.002
,2018-02-05 23:45,0.0032
,2018-02-06 00:00,0.0031
,2018-02-06 00:15,0.0034
,2018-02-06 00:30,0.0044
,2018-02-06 00:45,0.0036
,2018-02-06 01:00,0.0026
,2018-02-06 01:15,0.0025
,2018-02-06 01:30,0.0028
,2018-02-06 01:45,0.0025
,2018-02-06 02:00,0.0031
,2018-02-06 02:15,0.0026
,2018-02-06 02:30,0.0028
,2018-02-06 02:45,0.0025
,2018-02-06 03:00,0.0025
,2018-02-06 03:15,0.0028
,2018-02-06 03:30,0.0034
,2018-02-06 03:45,0.0031
,2018-02-06 04:00,0.0025
,2018-02-06 04:15,0.0026
,2018-02-06 04:30,0.0022
,2018-02-06 04:45,0.0021
,2018-02-06 05:00,0.0021
,2018-02-06 05:15,0.0017
,2018-02-06 05:30,0.0013
,2018-02-06 05:45,0.0009
,2018-02-06 06:00,0.0023
,2018-02-06 06:15,0.0021
,2018-02-06 06:30,0.001
,2018-02-06 06:45,0.0016
,2018-02-06 07:00,0.0019
,2018-02-06 07:15,0.0018
,2018-02-06 07:30,0.0013
,2018-02-06 07:45,0.0017
,2018-02-06 08:00,0.003
,2018-02-06 08:15,0.0049
,2018-02-06 08:30,0.0089
,2018-02-06 08:45,0.0113
,2018-02-06 09:00,0.0162
,2018-02-06 09:15,0.0219
,2018-02-06 09:30,0.0255
,2018-02-06 09:45,0.0305
,2018-02-06 10:00,0.0361
,2018-02-06 10:15,0.0312
,2018-02-06 10:30,0.0307
,2018-02-06 10:45,0.0599
,2018-02-06 11:00,0.0639
,2018-02-06 11:15,0.0673
,2018-02-06 11:30,0.0705
,2018-02-06 11:45,0.0711
,2018-02-06 12:00,0.0745
,2018-02-06 12:15,0.0826
,2018-02-06 12:30,0.0835
,2018-02-06 12:45,0.0845
,2018-02-06 13:00,0.0803
,2018-02-06 13:15,0.0864
,2018-02-06 13:30,0.0889
,2018-02-06 13:45,0.0812
,2018-02-06 14:00,0.0783
,2018-02-06 14:15,0.0775
,2018-02-06 14:30,0.0772
,2018-02-06 14:45,0.0741
,2018-02-06 15:00,0.0681
,2018-02-06 15:15,0.0629
,2018-02-06 15:30,0.0593
,2018-02-06 15:45,0.0526
,2018-02-06 16:00,0.0493
,2018-02-06 16:15,0.0272
,2018-02-06 16:30,0.0193
,2018-02-06 16:45,0.0153
,2018-02-06 17:00,0.0127
,2018-02-06 17:15,0.0098
,2018-02-06 17:30,0.0066
,2018-02-06 17:45,0.0047
,2018-02-06 18:00,0.0039
,2018-02-06 18:15,0.0032
,2018-02-06 18:30,0.0031
,2018-02-06 18:45,0.0028
,2018-02-06 19:00,0.0022
,2018-02-06 19:15,0.0016
,2018-02-06 19:30,0.0018
,2018-02-06 19:45,0.0016
,2018-02-06 20:00,0.0023
,2018-02-06 20:15,0.0014
,2018-02-06 20:30,0.0019
